,response,context,context/0,context/1,context/2,context/3,context/4,context/5
0,"2 -Hei, du.","1 Hei, Joey.",2 Det er min gode venn Ross.,1 Ross er her!,"2 Vi får vel gjøre det offisielt, da.",1 Ok.,2 Herregud!,1 Joey?
1,-Han har med seg blomster!,"2 -Hei, du.","1 Hei, Joey.",2 Det er min gode venn Ross.,1 Ross er her!,"2 Vi får vel gjøre det offisielt, da.",1 Ok.,2 Herregud!
2,1 Takk.,-Han har med seg blomster!,"2 -Hei, du.","1 Hei, Joey.",2 Det er min gode venn Ross.,1 Ross er her!,"2 Vi får vel gjøre det offisielt, da.",1 Ok.
3,Men jeg liker bedre godterier.,1 Takk.,-Han har med seg blomster!,"2 -Hei, du.","1 Hei, Joey.",2 Det er min gode venn Ross.,1 Ross er her!,"2 Vi får vel gjøre det offisielt, da."
4,2 Du er rar i dag.,Men jeg liker bedre godterier.,1 Takk.,-Han har med seg blomster!,"2 -Hei, du.","1 Hei, Joey.",2 Det er min gode venn Ross.,1 Ross er her!
5,1 -Jeg må prate med deg.,2 Du er rar i dag.,Men jeg liker bedre godterier.,1 Takk.,-Han har med seg blomster!,"2 -Hei, du.","1 Hei, Joey.",2 Det er min gode venn Ross.
6,2 -Jeg må faktisk prate med deg også.,1 -Jeg må prate med deg.,2 Du er rar i dag.,Men jeg liker bedre godterier.,1 Takk.,-Han har med seg blomster!,"2 -Hei, du.","1 Hei, Joey."
7,1 -Kan vi få være alene?,2 -Jeg må faktisk prate med deg også.,1 -Jeg må prate med deg.,2 Du er rar i dag.,Men jeg liker bedre godterier.,1 Takk.,-Han har med seg blomster!,"2 -Hei, du."
8,2 -Nei.,1 -Kan vi få være alene?,2 -Jeg må faktisk prate med deg også.,1 -Jeg må prate med deg.,2 Du er rar i dag.,Men jeg liker bedre godterier.,1 Takk.,-Han har med seg blomster!
9,1 -Hva?,2 -Nei.,1 -Kan vi få være alene?,2 -Jeg må faktisk prate med deg også.,1 -Jeg må prate med deg.,2 Du er rar i dag.,Men jeg liker bedre godterier.,1 Takk.
10,2 -Beklager. Jeg mente ''nei'' .,1 -Hva?,2 -Nei.,1 -Kan vi få være alene?,2 -Jeg må faktisk prate med deg også.,1 -Jeg må prate med deg.,2 Du er rar i dag.,Men jeg liker bedre godterier.
11,1 Hei.,2 -Beklager. Jeg mente ''nei'' .,1 -Hva?,2 -Nei.,1 -Kan vi få være alene?,2 -Jeg må faktisk prate med deg også.,1 -Jeg må prate med deg.,2 Du er rar i dag.
12,Se hvem som er her.,1 Hei.,2 -Beklager. Jeg mente ''nei'' .,1 -Hva?,2 -Nei.,1 -Kan vi få være alene?,2 -Jeg må faktisk prate med deg også.,1 -Jeg må prate med deg.
13,2 Hvor er vesla?,Se hvem som er her.,1 Hei.,2 -Beklager. Jeg mente ''nei'' .,1 -Hva?,2 -Nei.,1 -Kan vi få være alene?,2 -Jeg må faktisk prate med deg også.
14,1 -Hvor er mamma?,2 Hvor er vesla?,Se hvem som er her.,1 Hei.,2 -Beklager. Jeg mente ''nei'' .,1 -Hva?,2 -Nei.,1 -Kan vi få være alene?
15,2 -Hun henter tante Liddy.,1 -Hvor er mamma?,2 Hvor er vesla?,Se hvem som er her.,1 Hei.,2 -Beklager. Jeg mente ''nei'' .,1 -Hva?,2 -Nei.
